Restaurant Name,Category,Rating,Cost for two,Area,Locality,Address,Veg,Long Distance Delivery
A N KITCHEN,"Indian,Snacks",NA,150,Wardhaman Nagar,Wardhaman Nagar,"S/O SHAMIM AHMED TIGALA,PLOT NO  380,NEAR BUDDHA VIHAR ,NEAR JAI  BHEEM CHOWK ,MAHENDRA  NAGAR ,NEAR DR.AMBEDKAR MARG  NAGPUR, Zone no.9-Asinagar, Nagpur  (Urban), Nagpur, Maharashtra - 440018",False,1
Bowl Baby Bowl,"Indian,North Indian,Desserts",NA,300,Pratap Nagar,Pratap Nagar,"Shop no.1, G-14, Gurusai Apartment, Gayatri Nagar, Nagpur 440022",False,1
GOSWAMI VEG RESTAURANT,South Indian,4.0,150,Kharbi,Mitra Vihar Nagar,"Plot No. 4 A, Mitra Vihar Nagar, Kharbi Ring Road, Hanuman Nagar, Nagpur, Nagpur urban, Nagpur-1 (Maharashtra), - 440009",True,1
One New Experience,"Beverages,Continental,Desserts,Juices",NA,250,Khamla,Pratap Nagar,"Plot no. 11, Pandurang Gawande Nagar, Near Telecom Nagar",False,1
Rashi Hungry Point,Indian,NA,200,Dighori,ashirwad nagar ring road nagpur,1133/34 vidharbha  premium  amrut  mahautsav  appartment  ashirwad  nagar  new  narsala  road  nagpur  440024,False,1
Cakes Only,"Bakery,Desserts",NA,300,Manewada,Manewada Besa Road,"near Jaigurudeo nagar manewada besa road, near happy food ngpur 440027.",True,1
Yellow Chilly,"North Indian,Biryani,Chinese,Tandoor",3.5,200,Trimurti Nagar,Subhash Nagar,"Sanchiti Complex, Flat No. 104, Ring Rd, Trimurtee Nagar, Nagpur, Maharashtra 440022",False,1
ORBIYO NATURAL ICECREAM,Ice Cream,NA,350,Sadar,Sadar,PLOT NO 41 SHOP NO Y/1 JAGRUTI COLONY NAGPUR NAGPUR URBAN NAGPUR MAHARASHTRA,True,1
Shree Balaji South Food Point,South Indian,NA,300,Wardha Road,Wardha Road,"Flat no C-002, Vandana Apartments, Wardha Road, Near NIT Ground Pawanbhumi, Somalwada, Nagpur-440025",False,1
SLAY Coffee,"Beverages,Desserts",NA,200,Ayodhya Nagar,CHIKHLI LAY OUT,"PLOT NO.6&7 ,CHIKHLI LAY OUT,NEAR UDAY NAGAR RING ROAD,UDAY NAGAR ,NAGPUR 440024,,MAHARASHTRA",False,1
Aunty Momos,"Tibetan,Chinese,Beverages,Snacks",NA,100,"khamla,",Pratap Nagar,"Pl. No. 125, shashtri layout, khamla, nagpur",False,1
Punjab kesari Hotel,North Indian,NA,400,Surya Nagar,wardhaman Nagar,"Transport Nagar, Bhandra Road, Wardhaman Nagar, Nagpur",False,1
Cake Honey buzz (Pure Veg),"Bakery,Desserts,Snacks",4.0,300,Suyog Nagar,Pratap Nagar,"Plot 263, Shree Nagar, Manish Nagar, Nagpur",True,1
Mana Saoji Restaurant,"Tandoor,Chinese,Indian,Beverages,Fast Food,Snacks",NA,200,Manewada-Besa road,Ayodhya Nagar,"PLOT NO. 1 GEETA NAGAR, MANEWADA, BESA ROAD, NAGPUR, Nagpur  440027",False,1
Maa Annapurna Restaurant,"Thalis,South Indian,Biryani,Street Food,Chinese,Chaat",3.7,300,Manewada,Ayodhya Nagar,"Manewada Besa Road, Opposite Indian Bank, Near Tata Square, Vaidehi Tower, Nagpur, Maharashtra 440027",False,1
New Dahiya Momos and Chinese,Chinese,4.6,250,Pratap Nagar,Pratap Nagar,"Mahesh Apartment, opposite Axis Bank, Trimurtee Nagar, Nagpur, Maharashtra 440022, India",False,1
Biryani Adda,"Biryani,North Indian,Mughlai,Chinese",3.6,300,Itwari,Gandhibagh,"Plot Number 54, Pravesh Nagar, Ittabhatta Chowk, Nagpur",False,1
DELICIOUS BITES CAFE,"Chinese,Fast Food,Pizzas",NA,250,Ayodhya Nagar,Ayodhya Nagar,"SHOP NO. 01, MADHURMILAN APTS,  RAGHUJI NAGAR, NEAR CHOTA TAJ BAG,  NAGPUR, Zone no.5-Hanumannagar,  Nagpur urban, Nagpur-1, Maharashtra -  440024",False,1
Sarang Food Court,"Pizzas,Continental,Italian",NA,300,Mhalgi Nagar,Ayodhya Nagar,"RUPALI SARANG ZADE, PLOT NO 7 , MAHTMA GANDHI NAGAR, HUDKESHWAR MAIN ROAD, NAGPUR, District - Nagpur-1, STATE - Maharashtra",False,1
SAOJI TADKA,"North Indian,Snacks,Biryani",NA,300,Manish Nagar,Manish Nagar,"4, AMAR TRUPTI SOCIETY, BELTARODI, NAGPUR (RURAL), NAGPUR, MAHARASHTRA- 440027",False,1
HIGH ON CAFFEINE,"Beverages,Fast Food",NA,150,Pratap Nagar,Pratap Nagar,SHOP NO SX 2 ASHAD APARTMENT TRIMURTI NAGAR NAGPUR MUNCIPAL CORPORATION ZONE 01 LAKSHMINAGAR NAGPUR MAHARASHTRA,True,1
GOKUL FAMILY RESTAURANT,"Indian,Chinese,Biryani",NA,300,Dighori,Ayodhya Nagar,"PLOT NO 1/28, HUDKESHWAR MAIN ROAD, CHANDRAKIRAN NAGAR, NAGPUR. , District - Nagpur-1, STATE - Maharashtra",False,1
Jalgaon Express,"North Indian,Indian,Thalis",3.2,250,Pratap Nagar,SURENDRA NAGAR,"Plot no 97, Shastri Layout,Khamla, Zone no.4 -Dhantoli, Nagpur urban, Nagpur-1, Maharashtra - 440022",False,1
Chai Kaapi,Indian,NA,300,Gittikhadan,Gittikhadan,"Pioneers Sunshine, Ground Floor, KT Nagar, Besides Dominos Pizza, Katol Road, Nagpur",False,1
MAGIC FLAVOURS,"Indian,Chinese",NA,150,Ayodhya Nagar,Ayodhya Nagar,PLOT NO 14 RUKMINI NAGAR NEAR ANUSAYA MATA MANDIR NEW SUBHEDAR LAYOUT AYODHYA NAGAR NAGPUR ZONE NO 3 NEHARUNAGAR NAGPUR URBAN NAGPUR MAHARASHTRA,True,1
Ramji's food plaza,South Indian,4.2,600,Ayodhya Nagar,Ayodhya Nagar,"7 jai vighnaharta nagar bante layout, Hudkeshwar Rd, near Tulsi Dairy, Renuka Mata Nagar, Sanmarga Nagar, Nagpur, Maharashtra 440034, India",True,1
Mahi's Kitchen,South Indian,NA,100,Sadar,Sadar,"bajrang chowk, Surendragarh, Manav Seva Nagar, Nagpur, Maharashtra 440006, India",True,1
Airport Centre Point Madras Cafe,"South Indian,Desserts,Beverages",3.8,150,Wardha Road,Wardha Road,"131/1, Wardha road , nagpur 440025",False,1
JAVA CHAY,"Snacks,Beverages",NA,100,Sadar,Sadar,"Shop no. 1 , plot no.4 Tirupati Appartment,  Near Zenda Chowk ,Zingabai Takli Nagpur 440030",False,1
HOTEL A R' S,"Biryani,Chinese,Sweets,North Indian",NA,500,Nandanvan,Nandanvan,"PLOT NO 11 B ZONE NO 3 NEHARUNAGAR , NAGPUR URBAN NAGPUR 1 MAHARASHTRA 440034",False,1
T FOR TASTE,"Chinese,Fast Food,Snacks",NA,200,Sadar,Sadar,BAJRANG CHOWK SURENDRA GADH SEMINARY HILLS ZONE NO 10 MANGALWARI NAGPUR URBAN NAGPUR 1 MAHARASHTRA,False,1
Flames,"Chinese,Indian,Snacks,Italian",NA,100,Sadar,Sadar,101 paramount building near bakes and more faras square koradi road Nagpur. 440030,False,1
Cafe Donal,"Snacks,Beverages",NA,600,Trimurti Nagar,Pratap Nagar,"Plot 5/24, Ingale Layout, Opposite Parivar City Centre, Trimurti Nagar, Pratap Nagar, Nagpur",False,1
Tadka Foods,"North Indian,Sindhi,Indian,Combo",NA,300,Pratap Nagar,Pratap Nagar,"101 Block B Shreyas Sai Apartment Saraswati Vihar Colony Trimurti Nagar, Nagpur Urban, Nagpur-1 (Maharashtra),- 440022",False,1
Pizza Castle,"Pizzas,Fast Food",NA,300,Nandanvan,Nandanvan,PLOT NO 852 NEAR GHASIDAS MANDIR MINIMATA NAGAR NAGPUR NAGPUR ZONE NO 8 LAKADGANJ NAGPUR URBAN  NAGPUR 1 MAHARASHTRA-440035,False,1
Hotel Ashoka Imperial,North Indian,3.5,400,Somalwada,Manish Nagar,"Plot 191, Opposite UCO Bank, Manish Nagar, Nagpur",False,1
The kitchen Saoji,"North Indian,Biryani",NA,250,Gittikhadan,Gittikhadan,"Near Gousiya Masjit, Surendragad, Seminary Hills, Nagpur",False,1
ZACK Burgers,"American,Fast Food,Italian,Pizzas,Pastas,Beverages",NA,200,Pratap Nagar,Pratap Nagar,"Gudadhe Layout, Bhamti, Sainath Nagar, Trimurtee Nagar, Nagpur, Maharashtra 440022, India",False,1
Cheesimania,"Pizzas,Beverages,Fast Food",3.8,250,Trimurti Nagar,Pratap Nagar,"SHOP NO.2, PLOT NO.4, SHREE RADHE GOVIND APPARTMENT, TRIMURTI NAGAR, RING ROAD NAGPUR., District - Nagpur-1, STATE - Maharashtra - 440022",True,1
The Daawat Mahal,Indian,3.6,450,Trimurti Nagar,Dharampeth,"C/o Sham-E-Mehfil, House no 1294/6, Perfect House Society Opposite Raghuvir Restaurant Mangalmurti Square, Hingna Rd, Nagpur, Maharashtra 440022",False,1
Taste Of Thali,"Indian,Thalis,Chinese",4.1,250,Trimurti Nagar,"New Thali King, Shelwalkar Garden Apartment","Plot no.169, S-1, Shivshakti Apartment, Lokaseva Society, Sujata Layout, Nagpur",False,1
Veggietude,"North Indian,Chinese,Fast Food,Beverages,Desserts,Indian,Biryani,Tandoor",4.2,300,Trimurti Nagar,"2nd Bus Stop, Trimurti Nagar Square","177, Ground Floor Of Shree Ji Niwas, 2nd Bus Stop, Trimurti Nagar Square, Ring Road, Hingna T Point, Nagpur",True,1
Mom's Kitchen,"North Indian,Biryani",3.7,300,Gittikhadan,Gittikhadan,"Near Gausiya Masjid, Manav Seva Nagar, Friends Colony, Gittikhadan, Nagpur",False,1
Amazing Food Cafe,"Pizzas,Fast Food,Chinese,Beverages",3.6,250,Kalmana,"kalyan Nagar,Hingana Road,Beside Haldiram","Maina Vihar 558, Neta Ji Nagar, Pardi, Nagpur",False,1
FOOD VILLAGE,Indian,NA,200,Sadar,Sadar,BHANDE PLOT UMRED ROAD OPPOSITE OF NIRMAL NAGARI SHITLA MATA MANDIR ROAD ZONE NO 3 NEHARUNAGAR NAGPUR URBAN NAGPUR 1 MAHARASHTRA,False,1
