Restaurant Name,Category,Rating,Cost for two,Area,Locality,Address,Veg,Long Distance Delivery
The South Anna,"South Indian,Snacks",NA,250,Bajaj Nagar,Ramdaspeth,"Chatori Street,Central Bazaar Road,nxt to meditrina",True,0
The Egg Story,"Fast Food,Beverages",NA,200,Ramdaspeth,Ramdaspeth,"The Chatori Street, Besides Meditrina, Ramdaspeth",False,0
Chai Villa,"Beverages,Snacks",NA,200,Ayodhya nagar ,Nandanvan,"SAMRAT ASHOK UMRED ROAD SIRASPETH NAGPUR, Nagpur urban, Nagpur-1 (Maharashtra), - 440009 ",True,0
LunchBox - Meals and Thalis,"North Indian,Punjabi,Combo,Biryani,Healthy Food,Jain,Thalis,Indian,Mughlai,Desserts",4.0,200,Sadar,"Azad Chowk, Near Gandhi Chowk","Faasos, Plot No. 227 1, Azad Chowk, Near Gandhi Chowk, Opp Kachara Ghar, Sadar, Nagpur, 440001",False,0
Step Inn,"North Indian,Chinese",4.0,300,Gokulpeth,Dharampeth,"Law College Square, WHC Road, Dharampeth, Nagpur",False,0
Punjabizz,"North Indian,Indian,Tandoor,Kebabs,Biryani,Chinese",NA,300,Kadbi Chowk,Kabdi Square,"SHOP NO 05 , OPPOSITE ZUDIO STORE, SUKHJEEWAN COLONY, KADBI SQUARE, NAGPUR-440017",False,0
Kickass42,"Beverages,Snacks",NA,200,Sadar,Sadar,"Shop no.05, Anjuman Complex, Opp. Anjuman Polytechnic College, Sadar, Nagpur  440001",False,0
Chaitanya Paratha,Indian,NA,200,Dharampeth,Dharampeth,"PLOT NO -378 NARMADA VIHAR IN FRONT OF TRAFFIC PARK NAGPUR, Nagpur (Urban ) ,Nagpur, ,Maharashtra,440010",False,0
The Biryani Life,"Biryani,Hyderabadi,Lucknowi,North Indian,Mughlai,Desserts",3.7,200,Sadar,"Azad Chowk, Near Gandhi Chowk","Faasos, Plot No. 227 1, Azad Chowk, Near Gandhi Chowk, Opp Kachara Ghar, Sadar, Nagpur, 440001",False,0
Pure Veg Meals by Lunchbox,"North Indian,Desserts,Biryani",NA,200,Sadar,"Azad Chowk, Near Gandhi Chowk","Faasos, Plot No. 227 1, Azad Chowk, Near Gandhi Chowk, Opp Kachara Ghar, Sadar, Nagpur, 440001",True,0
Faasos' Signature Wraps & Rolls,"Snacks,Beverages,Desserts,Indian",NA,350,Sadar,"Azad Chowk, Near Gandhi Chowk","Faasos, Plot No. 227 1, Azad Chowk, Near Gandhi Chowk, Opp Kachara Ghar, Sadar, Nagpur, 440001",False,0
AB s-Absolute Barbecues,"North Indian,Chinese,Mughlai,Biryani,Barbecue,Grill,Seafood,Kebabs,Pan-Asian",3.7,400,Dharampeth,Dharampeth,"Plot No. 236, Survey No. 962, Street No. 15/24, West High Court, Dharampeth, Nagpur, Nagpur-1, Maharashtra,440010",False,0
Zaffran Biryani,Biryani,3.3,250,Medical Square,Nandanvan,"221,near lal Bahadur shastri high school, Hanuman Nagar, Nagpur, Maharashtra 440009",False,0
Hungama Shawarma & Shakes House,"Arabian,Beverages,Lebanese,Snacks,Street Food",2.5,250,Dharampeth,Dharampeth,"HOUSE NO 213 ZENDA CHOWK NEAR GAJANAN MANDIR DHARAMPETH NAGPUR 440010, District - Nagpur-1, STATE - Maharashtra-440010",False,0
Hi Pepper,Pizzas,NA,250,Sadar,Sadar,"Hi Pepper, F/12, Ground Floor, Anjuman Complex, Sadar, Nagpur. 440001",True,0
Hungama Street Cafe,"Snacks,Chinese,Beverages,Street Food,Italian,Lebanese",3.2,300,Dharampeth,Dharampeth,"HOUSE NO 213 ZENDA CHOWK NEAR GAJANAN MANDIR DHARAMPETH NAGPUR , District - Nagpur-1, STATE - Maharashtra - 440010",False,0
Chowringhee- Kathi Rolls And Kebabs,"Kebabs,North Indian,Street Food,Chinese,Lebanese",3.8,200,Sadar,Anjuman complex,Shop No. 4d Anjuman Complex Sadaar,False,0
Reddy's Gokul Dairy And Agro Farms,"Sweets,Beverages,Desserts",4.4,200,Dharampeth,Dharampeth,"PLOT NO 72, HOUSE NO451, AGRESEN MARGROAD, DHARAMPETH,Nagpur, Maharashtra,440010",False,0
JD's Kitchen - The Rice Bowl Co.,"North Indian,Indian,Chinese,Biryani,Mughlai,Desserts,Punjabi",3.8,200,Ramdaspeth,"Kachipura Chowk, JD","Central Bazar Road, Kachipura Chowk, Nagpur",True,0
The Brooklyn Creamery - Healthy Ice Cream,"Desserts,Ice Cream,Healthy Food",4.3,200,Sadar,RESIDENCY ROAD,"BLOCK NO. 08, GROUND FLOOR, INDIRA ARCHADE, RESIDENCY ROAD, SADAR, NAGPUR , Zone no.10-Mangalwari , Nagpur urban, Nagpur-1, Maharashtra-440001.",False,0
Lakhan Pan Mandir,"Paan,Beverages",NA,200,Nandanvan,Nandanvan,"ward No. 51 Paliwal Bhawan, Handloom market, Gandhibag, Nagpur  440002",False,0
Giani's,"Desserts,Ice Cream,Beverages",NA,150,Sadar,Sadar,"SHOP  NO 8, GROUND FLOOR, INDIRA ARCHADE RESEDENCY ROAD SARDAR NAGPUR,  MAHARASHTRA",False,0
Maharaj Bag Lawn,"North Indian,Chinese,Beverages",4.1,400,Gokulpeth,Dharampeth,"Amravati Road, Dharampeth, Nagpur",False,0
SSDs Swad Ghar Ka,"North Indian,Indian,Chinese,Biryani,Mughlai,Desserts,Punjabi",3.8,200,Ramdaspeth,"Kachipura Chowk, SSD","Central Bazar Road, Kachipura Chowk, Nagpur",True,0
Goli Vada Pav Dharampeth,"Fast Food,Beverages,Snacks,Street Food,Indian",4.0,250,Dharampeth,Dharampeth,"SMT KANCHAN JAISWAL M001 SUPRABHAT SANKUL PLOT NO 001 BUTY LAYOUT NAGPUR 440010, Zone no.2 -Dharampeth, Nagpur urban, Nagpur-1, Maharashtra - 440010",True,0
Bowled It,"North Indian,Indian,Chinese,Biryani,Mughlai,Desserts,Punjabi",3.6,200,Ramdaspeth,"Kachipura Chowk, Bowled","Central Bazar Road, Kachipura Chowk, Nagpur",False,0
Manthan Biryani center,"Biryani,Chinese",NA,150,Dharampeth,Dharampeth,"House no 830, mata mandir, dharampeth",False,0
Pizzzenia,"Pizzas,Italian,Continental",3.6,350,Byramji Town,Residency Road,"Panchminar Apartment, Koradi Rd, Chitnavis Nagar, Byramji Town, Nagpur, Maharashtra 440001",False,0
Bawarchi Restaurant,"Punjabi,North Indian,Biryani,Pizzas,Pastas,Continental",3.7,450,Khare Town,Dharampeth,"Vijay Arcade, North Ambazari Road, Shankar Nagar, Dharampeth, Nagpur",True,0
La Pasta Fresca Deli,"Pastas,Italian,Pizzas,Beverages",4.2,500,Dharampeth,dharampeth,"Plot 2, Bhagvaghar Layout, opposite Taori Marketing, Dharampeth, Nagpur, Maharashtra 440010",False,0
Krishnum Sweets,Sweets,NA,200,Ayodhya Nagar,Ayodhya Nagar,"Ajani, Medical College Road, Near DCP zone-4 Office, Ajni Railway Colony, Ajni Nagpur  440003",False,0
Firangi Bake,"Italian,Mexican,Pastas,Ice Cream",4.1,400,Sadar,"Azad Chowk, Near Gandhi Chowk","Faasos, Plot No. 227 1, Azad Chowk, Near Gandhi Chowk, Opp Kachara Ghar, Sadar, Nagpur, 440001",False,0
Nineties Cafe,Fast Food,NA,250,Dharampeth,shankar nagar,"DG/2, Kamlakar Apt, Plot No. 4, Near Post Office, Shankar Nagar",False,0
Swadesh Rasoi Pure Veg,Chinese,NA,399,Nandanvan,Nandanvan,"911, Block Number 8, Mangalwari, Nagpur, Maharashtra 440008, India",True,0
The Common Ground Sports Cafe & Restro,"Indian,Snacks,Italian,Tandoor,Mughlai,North Indian,Street Food,Beverages",4.5,250,Bajaj Nagar,Bajaj Nagar,"Sahas Building, Plot No. 64, near Gasgodown, Bajaj nagar, Nagpur 440010",False,0
Firangish Cafe & Courtyard,Chinese,NA,500,Dharampeth,Dharampeth,"Bhagwaghar Layout, Dharampeth, Nagpur",False,0
Abhi Chinese centre,"Chinese,Street Food",NA,250,Nandanvan,Nandanvan,"463A, Siraspeth, Nagpur, Maharashtra 440024, India",False,0
WANDERERS CAFE AND CASUAL DINING,"Beverages,Italian,Fast Food,Chinese",NA,300,Dharampeth,Dharampeth,PLOT NO 17 PRABHA SADAN GIRIPETH NAGPUR ZONE NO 1 LAXMINAGAR NAGPUR URBAN NAGPUR MAHARASHTRA,False,0
Chaiops- Dj Group,"Beverages,Italian,Fast Food,Chinese",NA,199,Sadar,Sadar,"Shop no 5 Mughal complex, Mangalwari Bazar Rd, Sadar, Nagpur, Maharashtra 440001, India",False,0
SHEHZAL FOOD CORNER,"Snacks,Combo",NA,100,Sadar,Sadar,"PATEL NAGAR , KAMPTEE ROAD STAR MOTERS UPPALWADI , NAGPUR ZONE NO. 9 ASINAGAR NAGPUR URBAN NAGPUR - 1 MAHARASHTRA - 440026",False,0
Tattwam,"South Indian,North Indian",3.7,500,Ramdaspeth,Ramdaspeth,"Plot No.272, Manomay Plaza, Central Bazar Road, Ramdaspeth, Nagpur",True,0
PAAN AROMA,"Paan,Beverages",NA,100,Sadar,Sadar,"Block no 12 at ground floor of buty  complex, plot no 16 bearing nmc house  number 45 situated at Mount Road, sadar  nagpur, Zone no.10-Mangalwari, Nagpur  (Urban), Nagpur, Maharashtra - 440001",False,0
Icing On The Cake,Indian,3.8,60,Dharampeth,Dharampeth,"Plot no.28, Gawlipura, Dharampeth, Nagpur-440010",False,0
Malhar Fresh,"Pizzas,Fast Food,Beverages,Snacks",NA,400,Sadar,Sadar,"Harmand Apartment-1, 101, Kamtee Rd, 10 No. Pul, Near Savita Gas Agency, Kamtee, Dobi Nagar, Bezonbagh, Nagpur, Maharashtra 440017, India",True,0
Mini Punjab,"Indian,Biryani",3.7,600,Khare Town,Dharampeth,"Suprabhath Apartment, Near WHC Road, Dharampeth, Nagpur",False,0
Natural Ice Cream,Ice Cream,4.1,150,Sadar,Sadar,"H.NO.298, AZAD CHOWK, SADAR, NAGPUR, Nagpur-1, Maharashtra- 44001",True,0
Shahi Haandi Kebab & Biryani,"North Indian,Biryani,Mughlai,Indian,Maharashtrian,Chinese",4.1,300,Gokulpeth,Dharampeth,"Plot No 55, Flat No 102  Satyam Apartment Canal Road Gokulpeth Nagpur, Nagpur Urban, Nagpur-1 (Maharashtra)",False,0
JDS  JUST  DESSERTZ,"Desserts,Ice Cream,Snacks,Beverages,Indian",4.2,300,Civil Lines,Dharampeth,"C/o. LAMBA TRADERS PETROL PUMP, NEAR R.T.O., AMRAVATI ROAD,NAGPUR	440011",False,0
Lovelys Expresso,"Beverages,Fast Food,Waffle",NA,150,Dharampeth,Dharampeth,"VISHWKARMA AUTO SERVICE, PLOT NO 1, SHANKAR NAGAR SQUARE PETROL PUMP, NAGPUR -",False,0
IT'S BREAK TIME CAFE,"Chinese,Italian,Fast Food,Snacks,Street Food,Beverages",NA,250,Ayodhya Nagar,Ayodhya Nagar,"SHOP NO. 4, PLOT NO. 506, TAJSHREE PLAZA, NEAR BASKETBALL GROUND, HANUMAN NAGAR, ZONE NO 5, NAGPUR URBAN, NAGPUR- 440024",True,0
Mustard Restro Lounge And Bar,"Indian,Chinese,Continental",3.3,800,Dharampeth,C/o Bawarchi Restaurant,"C/o Bawarchi Restaurant, Vijay Arcade, North Ambazari Road, Shankar Nagar, Dharampeth, Nagpur",False,0
Mocha,"Indian,Continental,Chinese",4.0,1400,Khare Town,Dharampeth,"202, Cement Road, Shankar Nagar, Dharampeth, Nagpur",False,0
Bollywood Dabeli Wada Pav Fast Food Corner,"Street Food,Indian,Snacks",NA,100,Gokulpeth,Dharampeth,"NEAR TRAFIC PARK VIP ROAD DHARAMPETH NAGPUR URBAN NAGPUR MAHARASHTRA, 440010",True,0
Vada Pavv Wala,"Street Food,Fast Food,Beverages",NA,200,Dharampeth,Dharampeth,"House no.0375, VIP Road, Tanga Stand, Near Childrens Traffic Park, Dharampeth,Nagpur",False,0
Theody,Beverages,NA,500,Dharampeth,Dharampeth,"Abhogi Apartments, Gajanan Mandir Rd, Dharampeth, Nagpur, Maharashtra 440010, India",False,0
PIYUSH CHAAT CENTER,Chaat,NA,100,Gandhibagh,Gandhibagh,"BANGALI PANJA, TABLE MARKET, BHOLASHAH DARGHA ROAD, NAGPUR, ZONE NO. 6, GANDHIBAGH, NAGPUR URBAN, NAGPUR-1, MAHARASHTRA-440002",True,0
The Next Chapter Cafe,"North Indian,Chinese",NA,250,Shankar Nagar Square,dharampeth,"Next to Plot no. 169, Near Shankar Nagar Garden, Next to Universal Projects Real Estate Office, West Shankar Nagar Road, Shankar Nagar, Nagpur - 440010",False,0
Hitchki,"North Indian,Mughlai,Indian,Punjabi,Tandoor,Biryani",NA,600,NAGPUR,NAGPUR,"NANIKS ASHTAVINAYAK PARK AVENUE, PLOT NO-2/1 AND 11/2,12TH AND TERRACE FLOOR, NEW COLONY, CHHAONI, NAGPUR,Nagpur urban, Nagpur-1,Maharashtra, 440001",False,0
TKG-The Kebab Guy,"Kebabs,North Indian,Fast Food",4.6,400,Byramji Town,Sadar,"36, Koradi Rd, Byramji Town, Nagpur, Maharashtra 440013, India",False,0
Falani Mastani,"Desserts,Beverages",4.2,300,Khare Town,Dharampeth,"(Dairy Don) Namos Food Court, Madhumadhav Tower, Laxmi Bhawan Square, Dharampeth, Nagpur",True,0
CHINESE SPECIALIST,"Chinese,Snacks",NA,200,Dharampeth,Dharampeth,PLOT NO 7 DUBE LAY OUT GOVERNMENT PRESS SOCIETY NAGPUR NAGPUR URBAN NAGPUR 1 MAHARASHTRA,False,0
ABHINU'S KITCHEN,North Indian,NA,300,Sadar,Sadar,"GADDIGODAM NEAR POLICE CHOWKI, ZONE NO- 10, MANGALWARI, NAGPUR (URBAN), NAGPUR, MAHARASHTRA- 440001",True,0
BOLLYWOOD DABELI WADAPAV AND FASTFOOD CORNER,Street Food,NA,150,Dharampeth,Dharampeth,NEAR TRAFIC PARK VIP ROAD DHARAMPETH NAGPUR 440010 NAGPUR URBAN NAGPUR 1 MAHARASHTRA,True,0
KINGS CHINESE SPECIALIST,"Chinese,Snacks",NA,200,Dharampeth,Dharampeth,PLOT NO 7 DUBE LAY OUT GOVERNMENT PRESS SOCIETY NAGPUR NAGPUR URBAN NAGPUR 1 MAHARASHTRA  GOVERMENT,False,0
Shreenath Pizza and Sandwich,Snacks,NA,250,Dharampeth,Traffic park,"258NA, W HIgh Court Rd, Opp. traffic park",True,0
Three Beans,Fast Food,4.0,500,Dharampeth,Dharampeth,"Janki Apartments,Beside Accounting Academy, Dharampeth, Nagpur",False,0
CAFE HIDE N SEEK,"Fast Food,Snacks,Arabian,Ice Cream,Beverages",NA,250,Sadar,Sadar,SHOP NO B 7 B 8 ACHRARAJ TOWER KORADI KATOL ROAD JUNCTION CHAONI NAGPUR ZONE NO 10 MANGALWARI NAGPUR URBAN NAGPUR 1 MAHARASHTRA,False,0
Myfroyoland,"Desserts,Beverages",NA,300,Bajaj Nagar,Bajaj Nagar,"SHOP NO. 009 PRATIBHA SANKUL APARTMENT NO. 001 KHARE TOWN , Zone no.2 -Dharampeth, Nagpur urban, Nagpur-1",True,0
Delicious bites cafeteria,"Fast Food,Pizzas",NA,250,Sadar,Sadar,"539R+58 Nagpur, Maharashtra, India",True,0
THE PIZZA COMPANY,Pizzas,NA,350,Sadar,Sadar,"HOUSE NO. 766/A, TAILORS LIN CHHONI, KATOLROAD, NARKHED, SAONER, NAGPUR (RURAL), NAGPUR, MAHARASHTRA- 440013",True,0
Golgappa Express,"Indian,Street Food,Chaat",4.0,150,Dharampeth,Dharampeth,"Desi food court, Swapnil Rajni Apartment, W High Ct Rd, Dharampeth Extension, Dharampeth, Nagpur",False,0
Hideout Cafe,"Chinese,Italian,Continental",NA,300,Bajaj Nagar,Dharampeth,"Hideout cafe  Shop number 1,2 Plot number 54 Khare town 440010",False,0
Punjabi Chaap corner,Indian,3.5,300,Sadar,Dharampeth,Plot no. 1058 Azad Chowk Sadar nagpur 440001,False,0
Bold Brista,"Fast Food,Beverages,Snacks",NA,300,Sadar,Sadar,"S No 10 Mahavir Complex Nrmadhusala Wine Kadbi chowk, Zone no. 1 - Laxminagar, Nagpur urban, Nagpur-1, Maharashtra - 440004",False,0
Pablo - The Art Cafe' Lounge,"Chinese,Continental,Indian",3.5,500,Civil Lines,Civil Lines,"240a, E High Ct Rd, Civil Lines, Nagpur, Maharashtra 440001",False,0
DILLI ZAIKA,"North Indian,Chinese,Snacks,Beverages",NA,200,Sadar,Sadar,SHOP NO 4 MANGALWARI COMPLEX WING SADAR ZONE NO 10 MANGALWARI NAGPUR URBAN NAGPUR MAHARASHTRA,False,0
Cluckers Fried Chicken Restaurant,"American,Snacks,Continental",4.3,250,Byramji Town,Sadar,"Shop no 22,23 , poonam chamber, Near Monte Carlo , above Dominos",False,0
Mr. Meals,"Fast Food,North Indian,Snacks,Indian,Chinese",NA,250,Medical Square,Nandanvan,"221,near lal Bahadur shastri high school, Hanuman Nagar, Nagpur, Maharashtra 440009",False,0
SWADESH RASOI,"Indian,Snacks,Desserts",3.6,500,Mahal,Nandanvan,911 old mangalwari pandit pura Paunikar house,False,0
Delhi Grill,"North Indian,Kebabs,Snacks",NA,200,Dharampeth,Dharampeth,"Unit No. G-3, Shiv Gaurav Estate, Main Road, Dharampeth, Nagpur   440010",False,0
BOMBAY PAWBHAJI,"Street Food,Chaat",NA,200,Dharampeth,Dharampeth,SWAPNIL RAJNI APARTMENT DHRAMPETH EXTENTION DHARAMPETHNNAGPUR,True,0
Ashirwad Snacks Zone,"Street Food,Snacks,Beverages",NA,300,Dharampeth,Dharampeth,"Opposite Ganesh Sagar, Besides Roshan Automobiles, Hakim Arcade, Dharampeth, Nagpur",True,0
Dairy Don,"Desserts,Beverages",NA,100,Khare Town,Dharampeth,"Madhu Madhav Tower, Laxmi Bhavan Chowk, Dharmpeth, Nagpur",True,0
NAWAZISH,"North Indian,Biryani",NA,300,Ayodhya Nagar,Ayodhya Nagar,"10, Medical Chowk, Hanuman Nagar, Nagpur, Maharashtra 440024, India",False,0
Chilly's - Chinese Kitchen,"Chinese,Beverages,Thai",NA,300,Medical Square,Nandanvan,"221,near lal Bahadur shastri high school, Hanuman Nagar, Nagpur, Maharashtra 440009",False,0
Manish Bakery,Bakery,NA,200,Ayodhya Nagar,Ayodhya Nagar,"Ajani, Medical CollegeRoad, Near DCPzone-4 Office, AjniRailway Colony, AjniNagpur",False,0
Barbecue Express Delivery,"Biryani,Kebabs,Indian,Barbecue,North Indian",4.1,200,Dharampeth,Dharampeth,"Flat no. 102, Satyam Apartment, Canal Road, Gokulpeth, Nagpur",False,0
Eat Street Express,"Indian,Biryani,Tandoor,Chinese",3.7,250,Dharampeth,Law College Square,"Law College Square, WHC Road, Dharampeth, Nagpur",False,0
222 BACKYARD,"Fast Food,Pizzas",NA,300,Dharampeth,Dharampeth,225A WEST HIGH COURT ROAD BEHIND MAX SHOWROOM GOKULPETH DHARAMPETH ZONE NO 2 DHARAMPETH NAGPUR URBAN NAGPUR 1 MAHARASHTRA,False,0
Break time cafe,"Chinese,Pizzas,Italian,Beverages",NA,149,Ayodhya Nagar,Ayodhya Nagar,"SHOP NO. 04, PLOT NO. 506, TAJSHREE  PLAZA, NEAR BASKET BALL GROUND,  HANUMAN NAGAR, Zone no.5- Hanumannagar, Nagpur urban, Nagpur-1,  Maharashtra - 440024",True,0
Collective Blends,"Continental,Beverages,American,Mexican,Italian",4.4,300,Khare Town,Dharampeth,"23B, near HDFC bank, Om Sai Nagar, Shivaji Nagar, Nagpur, Maharashtra 440010",False,0
Only Thalis.com,North Indian,NA,300,Dharampeth,Dharampeth,"C/o Bawarchi Restaurant, Vijay Arcade, North Ambazari Road, Shankar Nagar, Dharampeth, Nagpur",False,0
Mad About Coffee,"Beverages,Desserts,Juices,Continental,Italian",4.2,200,Dharampeth,Dharampeth,"SHOP NO 5 CHANDRA BHAWAN ZONE NO 2 DHARAMPETH Nagpur urban, Nagpur-1, Maharashtra-440010",True,0
Fuel Headquaters,"Fast Food,Beverages",4.0,250,Bajaj Nagar,Laxminagar Mate Sqare Road,"Beside Vijaya Bank, Laxminagar Mate Sqare Road, Bajaj Nagar, Nagpur",False,0
Shreenath Food Joint,"Chaat,Chinese,Snacks,Fast Food,Street Food,Beverages",3.7,150,Futala,Bharat nagar,"Shop 1, Ganesh Tower, Bharat Nagar, Sq,Amrawati Rd, Vayusena Nagar",True,0
Laziz Affair,"Mughlai,Fast Food",2.8,350,Byramji Town,Sadar,"Opposite Chhoroni Masjid, Sadar, Nagpur",False,0
Zinea,"Fast Food,Pizzas,Pastas",NA,400,Dharampeth,Dharampeth,"Dharampeth Towers 209 West High Court Road, Square, Shankar Nagar, Dharampeth, Nagpur, Maharashtra",False,0
Midas Touch,"Indian,Chinese",NA,800,Dharampeth,WHC Road,"210,W High CourtRoad,Dharampeth",False,0
Burger Master,"American,Chinese,Fast Food,Snacks,Italian",NA,200,Sadar,Sadar,KASHMIRI GALI ROAD FRONTIER APARTMENT NO 1/36 WARD NO 54 COOPERATIVE HOUSING SOCIETY LTD NAGPUR 440017,False,0
BTC SPECIAL COMBO,"Chinese,Pizzas,Fast Food",NA,200,Ayodhya Nagar,Ayodhya Nagar,"SHOP NO. 04, PLOT NO. 506, TAJSHREE  PLAZA, NEAR BASKET BALL GROUND,  HANUMAN NAGAR, Zone no.5- Hanumannagar, Nagpur urban, Nagpur-1,  Maharashtra - 440024",True,0
Foodie Land,"North Indian,Fast Food",NA,300,Dharampeth,Dharampeth,"20, Mama Rd, Dharampeth, Nagpur, Maharashtra 440010, India",True,0
Barbeque Hut,"North Indian,Chinese",NA,300,Mahal,gandibagh,"house no. 880, near heera plaza, zone no. 8, ward no. 37, khadgi mohalla, juni itwari, nagpur",False,0
The Pixie Bee,"Beverages,Desserts,Snacks",NA,300,Dharampeth,Dharampeth,"544 WHC Road, GiriPeth , Zone no.2 - Dharampeth , Nagpur urban, Nagpur",False,0
THE SANDWICH KING,Fast Food,NA,200,Ayodhya Nagar,Ayodhya Nagar,PLOT NO 91 VIRAJ SOCIETY SIDDHESHWARI NAGAR MANEWADA ROAD NAGPUR ZONE NO 5 HANUMANNAGAR NAGPUR URBAN NAGPUR MAHARASHTRA,False,0
JAILAXMI GRUHA UDYOG,Snacks,NA,200,Dharampeth,Dharampeth,"PLOT NO32,SHREE PRASAD APARTMENT,NEW VERMA ALYOUT,OPP AMBAZARI GARDEN ,ZONE NO 2,DHARAMPETH,NAGPUR,MAHARSHTRA",False,0
THE BITE,"Italian-American,Fast Food,Snacks",NA,250,Sadar,Sadar,PLOT NO 1266/D/12 RATAN NAGAR NEAR MANKAPUR NAGPUR ZONE NO 10 MANGALWARI NAGPUR URBAN NAGPUR MAHARASHTRA,False,0
4ks cafe,"Chinese,Snacks,Beverages",NA,150,Sadar,Sadar,"BEHIND CULCUTTA ROLL KATOL ROAD  SADAR CHHAONI NAGPUR, Zone no.10- Mangalwari, Nagpur urban, Nagpur-1,  Maharashtra - 440001",False,0
Whatthefruit,"Juices,Salads",NA,250,Dharampeth,Dharampeth,"Dharampeth, Nagpur, Maharashtra 440010, India",True,0
ROADIES FOOD,North Indian,NA,300,Sadar,Jaripatka,"231, MECOSABAGH SINDHI COLONY, JARIPATKA ROAD, BEZONBAGH, NAGPUR, Zone no.9-Asinagar, Nagpur (Urban), Nagpur, Maharashtra - 440001",False,0
Express By Abs,"Biryani,North Indian,Chinese,South Indian,Kebabs,Pan-Asian",3.4,400,Gokulpeth,Dharampeth,"NO. 15, SURVEY NO. 962, STREET, 24, W High Ct Rd, Dharampeth, Nagpur, Maharashtra 440010",False,0
Mirchi Masala Saoji,"Maharashtrian,North Indian,Chinese,Biryani,Seafood,Tandoor",3.4,200,Ramdaspeth,Bajaj Nagar,"C/o Sujal Saoji, 201, Central Bazar Road, Bajaj Nagar, Nagpur",False,0
THAKUR TADKA,South Indian,NA,150,Dharampeth,Dharampeth,PLOT NO. 1 INDRADHANUSH SADNIKA AMBAZARI LAY OUT NAGPUR ZONE NO 2 DHARAMPETH NAGPUR URBAN NAGPUR 1 MAHARASHTRA 440010,False,0
SPICY FOOD PLAZA,"Chinese,Indian",NA,300,Dharampeth,Dharampeth,"NEAR HP PETRAOL PUMP BORVEL  FRIENDS COLONY KATOL ROAD NAGPUR,  Zone no.2 -Dharampeth, Nagpur (Urban),  Nagpur, Maharashtra - 440013",False,0
The Food Smugglers,"North Indian,Indian,Chinese,Biryani,Mughlai,Desserts,Punjabi",3.2,200,Ramdaspeth,"Kachipura Chowk, Smuggler","Central Bazar Road, Kachipura Chowk, Nagpur",False,0
SHAGUN FOOD COUNTER,Indian,NA,300,Gandhibagh,Gandhibagh,"C/O GULABRAO BOKADE, BOKADE BUILDING 3RD FLOOR, NEAR SAIFY KIRANA, NEAR BABA BHOLA SHAH DARGHA MASKASATH ROAD, BANGALI PANJA, NAGPUR, ZONE NO. 6, GANDHIBAGH, NAGPUR (URBAN), NAGPUR, MAHARASHTRA- 44000",True,0
Rotika. In,North Indian,NA,100,Dharampeth,Dharampeth,"Shivaji Nagar Main Rd, Shivaji Nagar, Nagpur, Maharashtra 440010, India",True,0
Sardar Ji Ki Rasoi,"North Indian,Biryani,Chinese",3.9,300,Ramdaspeth,Ramdaspeth,"Central Bazaar Road, Shankar Nagar, Ramdaspeth, Nagpur",False,0
MS CHAAP CORNER,"Barbecue,Indian,Snacks,North Indian",4.3,250,Nandanvan,Nandanvan,"MS CHAAP CORNER, New Nandanvan Layout, Nandanvan, Nagpur, Maharashtra, India",True,0
Dosa Plaza,"South Indian,North Indian,Beverages,Snacks,Chinese,Street Food",3.6,200,Ravi nagar,Dharampeth,"UNIT NO. 1&2, THAKUR APARTMENT, AMRAVATI ROAD, NAGPUR, District - Nagpur-1, STATE - Maharashtra,440010",True,0
NIC Natural Ice Creams,"Ice Cream,Desserts",4.5,120,Nagpur,Achraj Towers Katol Road,"Shop No. G-301, Achraj Towers Katol Road, Chindwada Rd, Sadar, Nagpur, Maharashtra 440013",True,0
Biryani Bazar By Kilo,"Biryani,North Indian,Kebabs,Indian",4.4,200,Dharampeth,Dharampeth,"Flat no 102, Satyam Apartment Canal road, Gokulpeth, Nagpur, Nagpur urban, Nagpur-1 (Maharashtra)",False,0
DAIRY DON SUPREME SANDWICH & PIZZA,Pizzas,NA,200,Dharampeth,Dharampeth,"LG-9, DAIRY DON, MADHU MADHAV TOWER, LAXMI BHAVAN SQURE, DHARAMPETH, NAGPUR	440010",False,0
Open House,"Indian,Chinese",3.9,400,Bajaj Nagar,Bajaj Nagar,"63, Bajaj Nagar, Nagpur",True,0
Khandeshi Tadka,Maharashtrian,3.6,200,Gokulpeth,Dharampeth,"PLOT NO. 137, NEAR WALMIKI NAGAR, SHANKAR NAGAR NAGPUR",True,0
LAZEEZ BIRYANI HOUSE,"Biryani,North Indian",NA,200,Ayodhya Nagar,Ayodhya Nagar,PLOT NO 2/A NEAR EYE TO EYE TAJ NAGAR MANEWADA ROAD NAGPUR ZONE NO 5 HANUMANNAGAR NAGPUR URBAN NAGPUR MAHARASHTRA,False,0
Maharashtrian Aaswad,"Indian,Maharashtrian,Snacks,North Indian,Desserts,Beverages",3.1,200,Gokulpeth,Dharampeth,"Plot No. 137, Near Walmiki Nagar, Shankar Nagar Nagpur",True,0
Venom's Tomando Cafe,"Fast Food,Pizzas,Beverages",3.9,300,Nandanvan,Nandanvan,"Old Bagdganj, Gangabai Ghat Road, Nagpur -440008",False,0
Asian Bistro Restaurant,"Indian,Chinese,Italian,Tandoor,Continental,Pizzas,Snacks",NA,250,Bajaj Nagar,Bajaj Nagar,"PL.NO.69, ST-01 and ST-05, DHARNIDHAR PALACE, W.H.C. ROAD, BAJAJ NAGAR, NAGPUR 440010",False,0
